step,t,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,dyn_x,dyn_y,dyn_z,stat_x,stat_y,stat_z,d_min,rpz,rpf,target_x,target_y,target_z
0,0.000000,-1.982188,-1.983969,1.007125,0.178118,0.160306,0.071247,-1.500000,1.500000,2.500000,3.500000,-1.000000,2.000000,3.820893,1.000000,1.500000,3.000000,2.500000,3.000000
1,0.100000,-1.967437,-1.981656,1.010364,0.147516,0.023136,0.032394,-1.490000,1.488000,2.500000,3.500000,-1.000000,2.000000,3.805978,1.000000,1.500000,3.000000,2.500000,3.000000
2,0.200000,-1.949645,-1.965604,1.017490,0.177919,0.160520,0.071263,-1.480000,1.476000,2.500000,3.500000,-1.000000,2.000000,3.776644,1.000000,1.500000,3.000000,2.500000,3.000000
3,0.300000,-1.934908,-1.963263,1.020735,0.147364,0.023409,0.032446,-1.470000,1.464000,2.500000,3.500000,-1.000000,2.000000,3.761714,1.000000,1.500000,3.000000,2.500000,3.000000
4,0.400000,-1.917136,-1.947190,1.027863,0.177719,0.160734,0.071279,-1.460000,1.452000,2.500000,3.500000,-1.000000,2.000000,3.732379,1.000000,1.500000,3.000000,2.500000,3.000000
5,0.500000,-1.902415,-1.944821,1.031113,0.147211,0.023682,0.032498,-1.450000,1.440000,2.500000,3.500000,-1.000000,2.000000,3.717435,1.000000,1.500000,3.000000,2.500000,3.000000
6,0.600000,-1.884664,-1.928726,1.038242,0.177518,0.160949,0.071294,-1.440000,1.428000,2.500000,3.500000,-1.000000,2.000000,3.688099,1.000000,1.500000,3.000000,2.500000,3.000000
7,0.700000,-1.869958,-1.926331,1.041497,0.147058,0.023956,0.032549,-1.430000,1.416000,2.500000,3.500000,-1.000000,2.000000,3.673142,1.000000,1.500000,3.000000,2.500000,3.000000
8,0.800000,-1.852226,-1.910214,1.048628,0.177316,0.161164,0.071310,-1.420000,1.404000,2.500000,3.500000,-1.000000,2.000000,3.643805,1.000000,1.500000,3.000000,2.500000,3.000000
9,0.900000,-1.837536,-1.907792,1.051888,0.146904,0.024229,0.032601,-1.410000,1.392000,2.500000,3.500000,-1.000000,2.000000,3.628834,1.000000,1.500000,3.000000,2.500000,3.000000
10,1.000000,-1.819824,-1.891654,1.059020,0.177114,0.161380,0.071325,-1.400000,1.380000,2.500000,3.500000,-1.000000,2.000000,3.599499,1.000000,1.500000,3.000000,2.500000,3.000000
11,1.100000,-1.805149,-1.889203,1.062286,0.146751,0.024503,0.032652,-1.390000,1.368000,2.500000,3.500000,-1.000000,2.000000,3.584515,1.000000,1.500000,3.000000,2.500000,3.000000
12,1.200000,-1.787458,-1.873044,1.069420,0.176910,0.161596,0.071340,-1.380000,1.356000,2.500000,3.500000,-1.000000,2.000000,3.555180,1.000000,1.500000,3.000000,2.500000,3.000000
13,1.300000,-1.772767,-1.870606,1.072686,0.146907,0.024374,0.032662,-1.370000,1.344000,2.500000,3.500000,-1.000000,2.000000,3.540218,1.000000,1.500000,3.000000,2.500000,3.000000
14,1.400000,-1.755097,-1.854425,1.079821,0.176704,0.161815,0.071356,-1.360000,1.332000,2.500000,3.500000,-1.000000,2.000000,3.510885,1.000000,1.500000,3.000000,2.500000,3.000000
15,1.500000,-1.740422,-1.851959,1.083093,0.146751,0.024654,0.032714,-1.350000,1.320000,2.500000,3.500000,-1.000000,2.000000,3.495909,1.000000,1.500000,3.000000,2.500000,3.000000
16,1.600000,-1.722772,-1.835756,1.090230,0.176497,0.162034,0.071371,-1.340000,1.308000,2.500000,3.500000,-1.000000,2.000000,3.466579,1.000000,1.500000,3.000000,2.500000,3.000000
17,1.700000,-1.708113,-1.833263,1.093507,0.146594,0.024934,0.032766,-1.330000,1.296000,2.500000,3.500000,-1.000000,2.000000,3.451591,1.000000,1.500000,3.000000,2.500000,3.000000
18,1.800000,-1.690484,-1.817037,1.100645,0.176289,0.162253,0.071386,-1.320000,1.284000,2.500000,3.500000,-1.000000,2.000000,3.422263,1.000000,1.500000,3.000000,2.500000,3.000000
19,1.900000,-1.675840,-1.814516,1.103927,0.146438,0.025215,0.032818,-1.310000,1.272000,2.500000,3.500000,-1.000000,2.000000,3.407263,1.000000,1.500000,3.000000,2.500000,3.000000
20,2.000000,-1.658232,-1.798268,1.111067,0.176080,0.162474,0.071401,-1.300000,1.260000,2.500000,3.500000,-1.000000,2.000000,3.377939,1.000000,1.500000,3.000000,2.500000,3.000000
21,2.100000,-1.643604,-1.795719,1.114354,0.146281,0.025495,0.032869,-1.290000,1.248000,2.500000,3.500000,-1.000000,2.000000,3.362927,1.000000,1.500000,3.000000,2.500000,3.000000
22,2.200000,-1.626017,-1.779449,1.121496,0.175870,0.162694,0.071416,-1.280000,1.236000,2.500000,3.500000,-1.000000,2.000000,3.333607,1.000000,1.500000,3.000000,2.500000,3.000000
23,2.300000,-1.611405,-1.776872,1.124788,0.146123,0.025776,0.032921,-1.270000,1.224000,2.500000,3.500000,-1.000000,2.000000,3.318584,1.000000,1.500000,3.000000,2.500000,3.000000
